"Hele landet";"afbrudt_procent"
"Lolland";0,1333
"Morsø";0,1323
"Langeland";0,1162
"Albertslund";0,1138
"Brøndby";0,1131
"Halsnæs";0,1065
"Slagelse";0,1058
"Ringsted";0,104
"Bornholm";0,1037
"Vordingborg";0,1014
