"Hele landet";"afbrudt_procent"
"Allerød";0,0245
"Hørsholm";0,0283
"Rudersdal";0,0357
"Gentofte";0,0401
"Lyngby-Taarbæk";0,0506
"Lemvig";0,0532
"Stevns";0,0537
"Svendborg";0,0557
"Fredensborg";0,0566
"Vallensbæk";0,058
